#1
double Tambient(8760,2)
1	5.4
2	5.3
3	5.2
4	5.
5	4.9
6	4.8
7	5.
8	5.
9	5.
10	6.
11	8.
12	9.
13	9.5
14	10.
15	10.
16	9.7
17	9.4
18	9.2
19	9.
20	8.3
21	8.
22	8.
23	8.
24	8.
25	8.
26	8.4
27	9.
28	9.
29	9.2
30	9.6
31	10.
32	10.
33	10.
34	10.
35	10.1
36	11.
37	11.
38	11.
39	11.
40	9.
41	7.8
42	8.
43	7.
44	7.
45	6.
46	6.
47	6.2
48	6.6
49	7.
50	6.7
51	7.
52	7.
53	7.2
54	7.
55	6.
56	6.2
57	6.
58	6.8
59	7.6
60	7.9
61	8.1
62	8.4
63	8.3
64	8.1
65	8.
66	7.
67	6.
68	5.8
69	5.4
70	5.
71	4.4
72	4.9
73	5.5
74	6.
75	6.2
76	6.4
77	6.6
78	6.6
79	6.7
80	6.7
81	7.3
82	8.
83	8.8
84	9.
85	10.
86	9.6
87	9.
88	9.
89	8.8
90	8.
91	8.
92	8.3
93	8.
94	7.7
95	7.4
96	7.2
97	7.
98	6.4
99	7.
100	8.
101	8.
102	8.
103	8.
104	8.8
105	9.
106	10.
107	10.8
108	11.
109	11.6
110	12.2
111	12.
112	12.
113	11.4
114	10.7
115	10.
116	10.4
117	11.
118	10.
119	9.9
120	9.
121	8.6
122	8.2
123	8.
124	8.
125	9.1
126	9.
127	8.
128	8.8
129	8.
130	10.
131	11.
132	11.5
133	12.
134	12.
135	12.
136	12.1
137	12.2
138	12.
139	11.
140	11.2
141	11.
142	11.
143	11.
144	11.
145	11.
146	10.6
147	10.
148	10.
149	9.8
150	10.
151	10.
152	10.5
153	10.
154	10.5
155	11.
156	11.
157	12.
158	11.1
159	11.
160	11.
161	11.4
162	11.
163	10.
164	10.5
165	10.
166	9.
167	8.2
168	8.
169	9.
170	9.2
171	7.
172	7.
173	7.3
174	6.
175	6.
176	4.5
177	7.
178	8.
179	8.4
180	9.
181	9.3
182	9.6
183	10.
184	10.
185	10.
186	10.
187	10.
188	9.2
189	9.
190	9.
191	9.6
192	9.
193	9.
194	9.2
195	9.6
196	10.
197	9.7
198	8.8
199	8.
200	8.6
201	9.
202	9.
203	9.
204	9.
205	9.2
206	9.5
207	9.4
208	9.4
209	9.3
210	9.
211	9.
212	9.5
213	10.
214	10.
215	9.5
216	9.
217	9.
218	9.3
219	9.
220	9.
221	9.
222	9.
223	9.
224	9.1
225	9.
226	9.
227	8.5
228	9.
229	10.
230	10.2
231	10.
232	9.
233	8.
234	8.
235	8.
236	8.4
237	8.
238	8.
239	8.
240	8.
241	8.
242	7.8
243	7.9
244	8.
245	7.4
246	7.
247	7.
248	7.
249	7.
250	7.
251	7.4
252	8.
253	8.
254	8.
255	8.
256	8.
257	6.8
258	6.
259	6.
260	6.
261	6.
262	6.
263	6.2
264	6.4
265	6.6
266	6.8
267	7.
268	7.
269	7.
270	8.
271	8.
272	7.6
273	7.8
274	8.
275	9.
276	9.3
277	9.5
278	9.8
279	10.
280	10.
281	9.8
282	8.9
283	8.
284	8.3
285	7.6
286	7.
287	6.7
288	6.8
