#1
double Tambient(8760,2)
1	3.6
2	3.8
3	4.
4	4.3
5	4.4
6	4.6
7	4.7
8	5.
9	3.5
10	3.
11	3.
12	3.8
13	3.9
14	4.
15	1.9
16	3.
17	2.2
18	1.5
19	1.6
20	1.7
21	1.8
22	2.
23	2.
24	1.3
25	1.
26	1.
27	1.1
28	2.
29	2.
30	1.
31	1.
32	2.
33	0.6
34	1.3
35	2.
36	0.6
37	1.
38	2.
39	0.8
40	0.9
41	1.
42	0.2
43	1.
44	1.2
45	1.4
46	2.
47	2.
48	1.8
49	3.7
50	5.7
51	7.6
52	9.
53	8.
54	8.
55	8.1
56	8.3
57	8.4
58	8.2
59	8.
60	7.8
61	7.7
62	7.6
63	7.5
64	7.
65	6.5
66	5.9
67	5.4
68	4.9
69	4.4
70	6.
71	5.9
72	5.8
73	6.
74	5.7
75	5.5
76	6.
77	6.
78	4.7
79	4.8
80	5.
81	3.1
82	3.5
83	4.
84	3.5
85	3.7
86	4.
87	2.7
88	2.3
89	2.
90	1.1
91	1.5
92	2.
93	0.3
94	2.
95	0.
96	-1.
97	-1.5
98	-2.
99	-2.8
100	-3.1
101	-3.5
102	-3.8
103	-4.
104	-4.3
105	-4.7
106	-5.
107	-4.
108	-4.8
109	-4.4
110	-4.
111	-4.4
112	-4.
113	-4.1
114	-4.2
115	-3.9
116	-3.7
117	-3.4
118	-3.2
119	-3.
120	-3.7
121	-3.
122	-2.9
123	-2.7
124	-2.4
125	-2.
126	-1.3
127	0.
128	0.
129	-0.2
130	0.
131	0.
132	0.6
133	2.3
134	4.
135	4.1
136	4.5
137	5.
138	4.4
139	4.8
140	5.2
141	5.6
142	6.
143	5.5
144	5.
145	6.
146	7.
147	8.5
148	7.9
149	7.4
150	6.8
151	6.
152	6.
153	5.1
154	5.
155	5.
156	4.9
157	4.9
158	5.
159	4.4
160	4.2
161	4.
162	6.2
163	6.
164	6.
165	4.8
166	5.
167	4.
168	3.5
169	3.2
170	3.
171	1.2
172	1.
173	0.5
174	0.1
175	-0.1
176	-0.3
177	-0.5
178	-0.1
179	0.4
180	0.8
181	0.1
182	-0.5
183	-1.2
184	-0.6
185	0.
186	-0.4
187	-0.2
188	0.
189	-0.3
190	0.
191	0.
192	-0.5
193	-0.6
194	-0.8
195	-0.9
196	-0.9
197	-0.8
198	-0.8
199	-1.
200	0.
201	-1.8
202	-2.
203	-2.3
204	-2.5
205	-3.
206	-4.
207	-5.6
208	-6.
209	-6.
