#1
double Tambient(8760,2)
1	14.9
2	12.9
3	11.4
4	10.5
5	9.9
6	9.4
7	9.8
8	11.1
9	12.4
10	13.7
11	15.9
12	18.2
13	20.4
14	21.2
15	21.9
16	22.7
17	20.4
18	18.2
19	15.9
20	15.8
21	15.7
22	15.6
23	15.2
24	14.7
25	14.3
26	13.8
27	13.4
28	12.9
29	10.9
30	9.
31	11.4
32	12.7
33	14.1
34	15.4
35	17.1
36	18.8
37	20.5
38	20.9
39	21.3
40	21.7
41	20.2
42	18.7
43	17.2
44	17.2
45	17.1
46	17.1
47	16.4
48	15.6
49	14.9
50	14.5
51	14.2
52	13.8
53	13.6
54	13.5
55	13.3
56	14.6
57	15.8
58	17.1
59	18.7
60	20.2
61	21.8
62	22.2
63	22.5
64	22.9
65	21.2
66	19.4
67	17.7
68	17.6
69	17.4
70	17.3
71	16.7
72	16.2
73	15.6
74	14.9
75	14.2
76	13.5
77	13.1
78	12.6
79	12.2
80	13.8
81	15.5
82	17.1
83	18.9
84	20.7
85	22.5
86	22.6
87	22.8
88	22.9
89	21.8
90	20.6
91	19.5
92	18.8
93	18.1
94	17.4
95	17.1
96	16.7
97	16.4
98	16.4
99	16.3
100	16.3
101	16.3
102	16.4
103	16.4
104	16.3
105	16.3
106	16.2
107	17.7
108	19.2
109	20.7
110	21.6
111	22.5
112	23.4
113	22.6
114	21.7
115	20.9
116	20.9
117	20.9
118	20.9
119	19.9
120	19.
121	18.
122	18.
123	18.
124	18.
125	18.
126	18.1
127	18.1
128	18.1
129	18.1
130	18.1
131	18.8
132	19.4
133	20.1
134	20.8
135	21.5
136	22.2
137	21.8
138	21.3
139	20.9
140	20.3
141	19.8
142	19.2
143	19.
144	18.8
145	18.6
146	18.3
147	18.1
148	17.8
149	17.5
150	17.3
151	17.
152	17.9
153	18.9
154	19.8
155	20.8
156	21.9
157	22.9
158	23.2
159	23.6
160	23.9
161	23.
162	22.1
163	21.2
164	20.5
165	19.8
166	19.1
167	18.8
168	18.6
169	18.3
170	18.2
171	18.1
172	18.
173	17.8
174	17.6
175	17.4
176	18.6
177	19.7
178	20.9
179	21.9
180	22.9
181	23.9
182	23.9
183	24.
184	24.
185	23.3
186	22.7
187	22.
188	21.2
189	20.4
190	19.6
191	18.8
192	18.1
193	17.3
194	17.
195	16.8
196	16.5
197	16.4
198	16.3
199	16.2
200	16.
201	15.9
202	15.8
203	15.1
204	14.5
205	13.8
206	15.4
207	17.1
208	18.7
209	18.5
210	18.2
211	18.
212	18.
213	18.
214	18.
215	17.1
216	16.2
217	15.3
218	15.2
219	15.2
220	15.1
221	14.9
222	14.7
223	14.5
224	14.6
225	14.6
226	14.7
227	15.3
228	16.
229	16.6
230	16.8
231	17.1
232	17.3
233	17.1
234	16.9
235	16.7
236	16.6
237	16.5
238	16.4
